EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,Department,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
1,2,3,2,Sales,Sales Executive,4,5993,8,Yes,3,8,6,4,0
2,3,2,2,Research & Development,Research Scientist,2,5130,1,No,4,10,10,7,1
4,4,2,1,Research & Development,Laboratory Technician,3,2090,6,Yes,3,7,0,0,0
5,4,3,1,Research & Development,Research Scientist,3,2909,1,Yes,3,8,8,7,3
7,1,3,1,Research & Development,Laboratory Technician,2,3468,9,No,3,6,2,2,2
8,4,3,1,Research & Development,Laboratory Technician,4,3068,0,No,3,8,7,7,3
10,3,4,1,Research & Development,Laboratory Technician,1,2670,4,Yes,4,12,1,0,0
11,4,3,1,Research & Development,Laboratory Technician,3,2693,1,No,4,1,1,0,0
12,4,2,3,Research & Development,Manufacturing Director,3,9526,0,No,4,10,9,7,1
13,3,3,2,Research & Development,Healthcare Representative,3,5237,6,No,3,17,7,7,7
14,1,4,1,Research & Development,Laboratory Technician,2,2426,0,No,3,6,5,4,0
15,4,2,2,Research & Development,Laboratory Technician,3,4193,0,Yes,3,10,9,5,0
16,1,3,1,Research & Development,Research Scientist,3,2911,1,No,3,5,5,2,4
18,2,3,1,Research & Development,Laboratory Technician,4,2661,0,No,3,3,2,2,1
19,3,2,1,Research & Development,Laboratory Technician,3,2028,5,Yes,3,6,4,2,0
20,2,4,3,Research & Development,Manufacturing Director,1,9980,1,No,3,10,10,9,8
21,1,4,1,Research & Development,Research Scientist,2,3298,0,Yes,3,7,6,2,0
22,4,4,1,Research & Development,Laboratory Technician,4,2935,1,Yes,3,1,1,0,0
23,1,2,4,Sales,Manager,4,15427,2,No,3,31,25,8,3
24,4,3,1,Research & Development,Research Scientist,4,3944,5,Yes,3,6,3,2,1
26,1,4,2,Research & Development,Manufacturing Director,3,4011,0,No,3,5,4,2,1
27,3,2,1,Sales,Sales Representative,1,3407,7,No,4,10,5,3,0
28,1,3,3,Research & Development,Research Director,2,11994,0,No,3,13,12,6,2
30,3,3,1,Research & Development,Research Scientist,4,1232,1,No,3,0,0,0,0
31,2,3,1,Research & Development,Research Scientist,1,2960,2,No,3,8,4,2,1
32,3,3,5,Research & Development,Manager,3,19094,4,No,3,26,14,13,4
