EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,Department,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,ExperienceLevel
1,2,3,2,Sales,Sales Executive,4,5993,8,Yes,3,8,6,4,0,Entry
2,3,2,2,Research & Development,Research Scientist,2,5130,1,No,4,10,10,7,1,Intermediate
4,4,2,1,Research & Development,Laboratory Technician,3,2090,6,Yes,3,7,0,0,0,Entry
5,4,3,1,Research & Development,Research Scientist,3,2909,1,Yes,3,8,8,7,3,Entry
7,1,3,1,Research & Development,Laboratory Technician,2,3468,9,No,3,6,2,2,2,Entry
8,4,3,1,Research & Development,Laboratory Technician,4,3068,0,No,3,8,7,7,3,Entry
10,3,4,1,Research & Development,Laboratory Technician,1,2670,4,Yes,4,12,1,0,0,Intermediate
11,4,3,1,Research & Development,Laboratory Technician,3,2693,1,No,4,1,1,0,0,Entry
12,4,2,3,Research & Development,Manufacturing Director,3,9526,0,No,4,10,9,7,1,Intermediate
13,3,3,2,Research & Development,Healthcare Representative,3,5237,6,No,3,17,7,7,7,Senior
14,1,4,1,Research & Development,Laboratory Technician,2,2426,0,No,3,6,5,4,0,Entry
15,4,2,2,Research & Development,Laboratory Technician,3,4193,0,Yes,3,10,9,5,0,Intermediate
16,1,3,1,Research & Development,Research Scientist,3,2911,1,No,3,5,5,2,4,Entry
18,2,3,1,Research & Development,Laboratory Technician,4,2661,0,No,3,3,2,2,1,Entry
19,3,2,1,Research & Development,Laboratory Technician,3,2028,5,Yes,3,6,4,2,0,Entry
20,2,4,3,Research & Development,Manufacturing Director,1,9980,1,No,3,10,10,9,8,Intermediate
21,1,4,1,Research & Development,Research Scientist,2,3298,0,Yes,3,7,6,2,0,Entry
22,4,4,1,Research & Development,Laboratory Technician,4,2935,1,Yes,3,1,1,0,0,Entry
23,1,2,4,Sales,Manager,4,15427,2,No,3,31,25,8,3,Senior
24,4,3,1,Research & Development,Research Scientist,4,3944,5,Yes,3,6,3,2,1,Entry
26,1,4,2,Research & Development,Manufacturing Director,3,4011,0,No,3,5,4,2,1,Entry
27,3,2,1,Sales,Sales Representative,1,3407,7,No,4,10,5,3,0,Intermediate
28,1,3,3,Research & Development,Research Director,2,11994,0,No,3,13,12,6,2,Intermediate
30,3,3,1,Research & Development,Research Scientist,4,1232,1,No,3,0,0,0,0,Entry
31,2,3,1,Research & Development,Research Scientist,1,2960,2,No,3,8,4,2,1,Entry
32,3,3,5,Research & Development,Manager,3,19094,4,No,3,26,14,13,4,Senior
33,2,1,1,Research & Development,Research Scientist,1,3919,1,Yes,4,10,10,2,6,Intermediate
35,3,3,2,Sales,Sales Executive,2,6825,0,No,3,10,9,7,4,Intermediate
36,1,2,3,Research & Development,Healthcare Representative,4,10248,3,No,3,24,22,6,5,Senior
38,2,3,5,Sales,Manager,1,18947,3,No,3,22,2,2,2,Senior
39,3,3,1,Research & Development,Laboratory Technician,4,2496,4,No,3,7,1,1,0,Entry
40,4,3,2,Research & Development,Healthcare Representative,4,6465,2,Yes,3,9,4,2,1,Entry
41,4,2,1,Research & Development,Laboratory Technician,3,2206,1,No,3,10,10,0,1,Intermediate
42,4,3,2,Sales,Sales Representative,4,2086,3,No,3,19,1,0,0,Senior
45,2,3,1,Research & Development,Research Scientist,4,2293,2,Yes,3,6,2,0,2,Entry
46,4,4,1,Research & Development,Research Scientist,3,2645,1,No,3,6,5,3,1,Entry
47,1,2,1,Sales,Sales Representative,3,2683,1,Yes,3,3,3,2,0,Entry
49,4,3,1,Sales,Sales Representative,4,2014,1,No,3,2,2,2,2,Entry
51,2,2,1,Research & Development,Research Scientist,1,3419,9,Yes,3,6,1,1,0,Entry
52,3,4,2,Sales,Sales Executive,1,5376,2,No,3,10,5,3,1,Intermediate
53,3,3,1,Research & Development,Laboratory Technician,4,1951,1,No,3,1,1,0,0,Entry
54,4,3,1,Research & Development,Laboratory Technician,1,2341,1,No,3,1,1,0,0,Entry
55,1,1,1,Research & Development,Laboratory Technician,3,2293,1,No,3,1,1,0,0,Entry
56,4,3,3,Sales,Sales Executive,3,8726,1,No,3,9,9,8,1,Entry
57,3,3,2,Research & Development,Laboratory Technician,4,4011,1,No,4,12,12,8,3,Intermediate
58,2,3,5,Research & Development,Research Director,3,19545,1,No,3,23,22,15,15,Senior
60,2,3,2,Sales,Sales Executive,3,4568,0,No,4,10,9,5,8,Intermediate
61,2,3,1,Research & Development,Research Scientist,2,3022,4,No,4,8,1,0,0,Entry
62,1,3,2,Sales,Sales Executive,4,5772,4,Yes,4,14,9,6,0,Intermediate
63,4,4,1,Research & Development,Laboratory Technician,4,2269,1,No,3,1,1,0,0,Entry
64,1,2,3,Research & Development,Laboratory Technician,3,5381,9,Yes,3,23,1,0,0,Senior
65,3,3,1,Research & Development,Laboratory Technician,3,3441,1,Yes,3,2,2,2,2,Entry
68,2,3,2,Sales,Sales Executive,1,5454,5,Yes,4,9,4,3,1,Entry
70,3,2,3,Research & Development,Healthcare Representative,1,9884,2,Yes,3,10,4,0,2,Intermediate
72,3,2,2,Sales,Sales Executive,4,4157,7,Yes,3,5,2,2,0,Entry
73,1,3,3,Research & Development,Research Director,4,13458,1,Yes,3,15,15,14,8,Entry
74,2,3,3,Sales,Sales Executive,1,9069,1,No,4,9,9,8,1,Entry
75,3,3,1,Research & Development,Laboratory Technician,1,4014,3,Yes,3,4,2,2,2,Entry
76,4,3,2,Research & Development,Laboratory Technician,4,5915,3,No,4,10,7,7,1,Intermediate
77,1,2,2,Research & Development,Manufacturing Director,3,5993,1,No,3,7,7,5,0,Entry
78,1,3,2,Research & Development,Manufacturing Director,4,6162,1,Yes,4,9,9,8,7,Entry
79,4,3,2,Research & Development,Laboratory Technician,4,2406,1,No,3,10,10,3,9,Intermediate
80,2,2,5,Research & Development,Research Director,3,18740,5,Yes,3,29,27,3,13,Senior
81,1,3,3,Sales,Sales Executive,1,7637,7,No,3,28,21,16,7,Senior
83,3,3,3,Research & Development,Healthcare Representative,3,10096,1,No,3,17,17,14,12,Senior
84,4,3,4,Research & Development,Manager,3,14756,2,Yes,3,21,5,0,0,Senior
85,2,2,2,Research & Development,Manufacturing Director,2,6499,1,No,3,6,6,5,0,Entry
86,2,3,3,Research & Development,Research Scientist,1,9724,2,No,3,25,1,0,0,Senior
88,2,3,1,Research & Development,Research Scientist,1,2194,4,No,3,5,3,2,1,Entry
90,4,2,1,Research & Development,Research Scientist,3,3388,0,Yes,3,2,1,0,0,Entry
91,1,2,2,Sales,Sales Executive,3,5473,7,No,3,20,4,3,1,Senior
94,3,3,1,Research & Development,Research Scientist,2,2703,0,No,4,6,5,4,0,Entry
95,3,3,1,Research & Development,Research Scientist,2,2501,1,No,3,1,1,1,1,Entry
96,2,3,2,Research & Development,Research Scientist,2,6220,1,No,3,10,10,4,0,Intermediate
97,2,4,1,Research & Development,Laboratory Technician,4,3038,3,No,3,5,1,0,0,Entry
98,3,3,2,Research & Development,Manufacturing Director,4,4424,1,No,4,11,11,7,1,Intermediate
100,3,2,2,Sales,Sales Executive,1,4312,0,No,3,16,15,13,2,Senior
101,4,3,3,Research & Development,Research Director,1,13245,4,Yes,3,17,0,0,0,Senior
102,1,3,3,Research & Development,Research Director,3,13664,4,No,3,16,5,2,0,Senior
103,2,3,2,Human Resources,Human Resources,2,5021,8,Yes,4,16,4,2,0,Senior
104,4,2,2,Research & Development,Laboratory Technician,4,5126,1,Yes,3,10,10,8,3,Intermediate
105,2,2,1,Research & Development,Research Scientist,3,2859,1,No,3,6,6,4,0,Entry
