EmployeeNumber,Age,DistanceFromHome,Education,EducationField,Gender,MaritalStatus,Attrition
1,41,1,2,Life Sciences,Female,Single,Yes
2,49,8,1,Life Sciences,Male,Married,No
4,37,2,2,Other,Male,Single,Yes
5,33,3,4,Life Sciences,Female,Married,No
7,27,2,1,Medical,Male,Married,No
8,32,2,2,Life Sciences,Male,Single,No
10,59,3,3,Medical,Female,Married,No
11,30,24,1,Life Sciences,Male,Divorced,No
12,38,23,3,Life Sciences,Male,Single,No
13,36,27,3,Medical,Male,Married,No
14,35,16,3,Medical,Male,Married,No
15,29,15,2,Life Sciences,Female,Single,No
16,31,26,1,Life Sciences,Male,Divorced,No
18,34,19,2,Medical,Male,Divorced,No
19,28,24,3,Life Sciences,Male,Single,Yes
20,29,21,4,Life Sciences,Female,Divorced,No
21,32,5,2,Life Sciences,Male,Divorced,No
22,22,16,2,Medical,Male,Divorced,No
23,53,2,4,Life Sciences,Female,Married,No
24,38,2,3,Life Sciences,Male,Single,No
26,24,11,2,Other,Female,Divorced,No
27,36,9,4,Life Sciences,Male,Single,Yes
28,34,7,4,Life Sciences,Female,Single,No
30,21,15,2,Life Sciences,Male,Single,No
31,34,6,1,Medical,Male,Single,Yes
32,53,5,3,Other,Female,Divorced,No
33,32,16,1,Life Sciences,Female,Single,Yes
35,42,8,4,Marketing,Male,Married,No
36,44,7,4,Medical,Female,Married,No
38,46,2,4,Marketing,Female,Single,No
39,33,2,3,Medical,Male,Single,No
40,44,10,4,Other,Male,Married,No
41,30,9,2,Medical,Male,Single,No
42,39,5,3,Technical Degree,Male,Married,Yes
45,24,1,3,Medical,Male,Married,Yes
46,43,2,2,Medical,Female,Divorced,No
47,50,3,2,Marketing,Male,Married,Yes
49,35,2,3,Marketing,Female,Married,No
51,36,5,4,Life Sciences,Female,Married,No
52,33,1,3,Life Sciences,Female,Married,No
53,35,4,2,Other,Male,Divorced,No
54,27,2,4,Life Sciences,Female,Divorced,No
55,26,25,3,Life Sciences,Male,Single,Yes
56,27,8,3,Life Sciences,Male,Single,No
57,30,1,2,Medical,Female,Single,No
58,41,12,3,Technical Degree,Female,Married,Yes
60,34,23,4,Marketing,Male,Single,No
61,37,19,2,Life Sciences,Male,Married,No
62,46,5,4,Marketing,Male,Single,No
63,35,8,1,Life Sciences,Male,Married,No
64,48,1,2,Life Sciences,Male,Single,Yes
65,28,5,4,Technical Degree,Male,Single,Yes
68,44,1,5,Marketing,Female,Divorced,No
70,35,11,2,Medical,Male,Married,No
72,26,23,3,Marketing,Female,Married,No
73,33,1,2,Life Sciences,Female,Single,No
74,35,18,5,Life Sciences,Male,Married,No
75,35,23,4,Medical,Female,Married,No
76,31,7,4,Life Sciences,Male,Divorced,No
77,37,1,4,Life Sciences,Male,Divorced,No
78,32,1,3,Medical,Male,Married,No
79,38,29,5,Life Sciences,Female,Single,No
80,50,7,2,Medical,Female,Divorced,No
81,59,25,3,Life Sciences,Female,Single,No
83,36,8,3,Technical Degree,Female,Divorced,No
84,55,8,3,Medical,Female,Divorced,No
85,36,11,3,Life Sciences,Male,Single,No
86,45,7,3,Life Sciences,Male,Divorced,No
88,35,1,3,Medical,Male,Married,No
90,36,9,3,Medical,Male,Married,Yes
91,59,1,1,Life Sciences,Female,Single,No
94,29,2,3,Life Sciences,Male,Married,No
95,31,1,4,Medical,Male,Single,No
96,32,1,3,Life Sciences,Male,Married,No
97,36,6,3,Life Sciences,Female,Married,No
98,31,8,4,Life Sciences,Female,Single,No
100,35,1,4,Marketing,Male,Single,No
101,45,6,4,Other,Male,Married,No
102,37,7,4,Medical,Male,Single,No
103,46,5,2,Medical,Male,Divorced,No
104,30,1,1,Life Sciences,Male,Married,No
105,35,1,3,Medical,Male,Single,No
106,55,1,2,Life Sciences,Male,Married,No
107,38,6,3,Medical,Female,Divorced,No
110,34,1,2,Medical,Male,Married,No
112,56,7,3,Life Sciences,Male,Single,No
113,23,2,1,Technical Degree,Male,Divorced,No
116,51,9,4,Life Sciences,Male,Married,No
117,30,2,3,Life Sciences,Male,Married,No
118,46,9,2,Medical,Male,Single,Yes
119,40,1,4,Life Sciences,Male,Married,No
120,51,21,4,Marketing,Male,Single,No
121,30,4,2,Medical,Female,Divorced,No
124,46,1,3,Medical,Male,Married,No
125,32,6,4,Medical,Male,Single,No
126,54,2,4,Technical Degree,Female,Married,No
128,24,3,2,Other,Female,Married,No
129,28,4,3,Medical,Male,Married,No
131,58,10,4,Medical,Male,Single,No
132,44,23,3,Medical,Male,Married,No
133,37,6,4,Human Resources,Male,Divorced,Yes
134,32,1,1,Life Sciences,Male,Single,No
137,20,6,3,Life Sciences,Female,Single,Yes
138,34,6,4,Other,Female,Single,No
139,37,2,2,Life Sciences,Male,Divorced,No
140,59,2,4,Human Resources,Female,Married,No
141,50,1,3,Life Sciences,Female,Married,No
142,25,5,3,Marketing,Male,Single,Yes
143,25,7,1,Medical,Male,Married,No
144,22,15,3,Medical,Female,Single,No
145,51,1,4,Medical,Female,Single,No
147,34,7,3,Life Sciences,Male,Single,Yes
148,54,26,3,Human Resources,Female,Single,No
150,24,18,1,Life Sciences,Male,Married,No
151,34,6,4,Life Sciences,Female,Divorced,No
152,37,3,3,Life Sciences,Male,Single,No
153,34,5,3,Medical,Female,Single,No
154,36,11,2,Technical Degree,Female,Married,No
155,36,3,2,Life Sciences,Female,Divorced,No
158,43,26,2,Life Sciences,Male,Married,No
159,30,23,3,Life Sciences,Male,Divorced,No
160,33,22,2,Marketing,Male,Married,No
161,56,14,4,Life Sciences,Female,Married,Yes
162,51,6,3,Life Sciences,Male,Single,No
163,31,6,4,Life Sciences,Male,Married,Yes
164,26,6,3,Other,Female,Married,No
165,58,23,4,Medical,Female,Married,Yes
167,19,22,1,Marketing,Male,Single,Yes
169,22,2,1,Technical Degree,Male,Married,No
170,49,20,4,Medical,Female,Married,No
171,43,28,3,Medical,Female,Single,No
174,50,12,3,Marketing,Female,Single,No
175,31,20,3,Life Sciences,Female,Married,Yes
176,41,9,1,Life Sciences,Male,Divorced,No
177,26,25,1,Life Sciences,Female,Married,No
178,36,6,2,Medical,Male,Divorced,No
179,51,8,4,Life Sciences,Male,Single,Yes
182,39,4,4,Life Sciences,Female,Married,No
183,25,28,3,Life Sciences,Male,Married,No
184,30,9,3,Human Resources,Male,Married,No
190,32,9,3,Medical,Female,Single,Yes
192,45,29,3,Medical,Male,Single,No
193,38,3,5,Technical Degree,Female,Single,No
194,30,18,3,Life Sciences,Female,Single,No
195,32,9,2,Medical,Male,Divorced,No
197,30,5,3,Technical Degree,Female,Divorced,No
198,30,2,1,Medical,Male,Single,No
199,41,10,3,Life Sciences,Male,Divorced,No
200,41,9,4,Life Sciences,Male,Married,No
201,19,3,1,Medical,Female,Single,No
202,40,26,3,Medical,Female,Divorced,No
204,35,1,5,Marketing,Male,Married,No
205,53,6,2,Marketing,Male,Married,No
206,45,9,3,Life Sciences,Male,Divorced,No
207,32,8,3,Marketing,Female,Single,No
208,29,1,1,Technical Degree,Male,Married,No
211,51,7,4,Medical,Male,Married,No
214,58,9,3,Medical,Female,Married,No
215,40,4,4,Marketing,Male,Married,No
216,34,2,4,Marketing,Female,Married,No
217,22,19,1,Medical,Male,Married,No
218,27,9,3,Medical,Male,Divorced,No
221,28,21,3,Medical,Male,Married,No
223,57,24,2,Life Sciences,Male,Divorced,No
224,27,3,3,Medical,Male,Divorced,No
226,50,11,3,Life Sciences,Female,Single,No
227,41,14,3,Life Sciences,Male,Divorced,No
228,30,5,3,Life Sciences,Female,Married,No
230,38,1,4,Life Sciences,Female,Single,No
231,32,6,5,Life Sciences,Male,Single,No
233,27,17,3,Technical Degree,Male,Married,No
235,19,1,1,Technical Degree,Female,Single,Yes
238,36,3,2,Medical,Male,Single,No
239,30,9,3,Medical,Male,Divorced,No
240,45,4,2,Life Sciences,Female,Divorced,No
241,56,8,3,Life Sciences,Female,Divorced,No
242,33,2,3,Life Sciences,Male,Single,No
243,19,2,3,Life Sciences,Male,Single,Yes
244,46,1,2,Marketing,Female,Divorced,No
245,38,9,2,Life Sciences,Female,Single,No
246,31,12,1,Medical,Female,Married,No
247,34,27,2,Medical,Female,Single,No
248,41,20,2,Marketing,Female,Single,Yes
249,50,1,3,Medical,Male,Married,No
250,53,13,2,Medical,Female,Divorced,No
252,33,14,3,Medical,Female,Married,No
253,40,4,1,Medical,Female,Married,No
254,55,14,4,Medical,Male,Single,No
256,34,2,1,Life Sciences,Male,Married,No
258,51,3,3,Medical,Female,Single,No
259,52,1,4,Life Sciences,Male,Married,No
260,27,9,3,Medical,Female,Single,No
261,35,23,2,Life Sciences,Male,Married,Yes
262,43,7,3,Medical,Male,Divorced,No
264,45,2,2,Medical,Male,Married,No
267,37,21,3,Life Sciences,Male,Married,No
269,35,2,3,Medical,Female,Single,No
270,42,21,2,Medical,Female,Divorced,No
271,38,2,4,Life Sciences,Male,Married,No
273,38,29,3,Technical Degree,Male,Married,No
274,27,1,1,Technical Degree,Male,Married,No
275,49,18,4,Life Sciences,Male,Divorced,No
277,34,10,4,Medical,Male,Divorced,No
281,40,19,2,Medical,Male,Married,No
282,38,29,1,Medical,Male,Married,Yes
283,29,27,3,Marketing,Female,Married,Yes
284,22,5,3,Life Sciences,Male,Divorced,No
286,36,18,1,Medical,Female,Single,No
287,40,9,5,Life Sciences,Male,Married,No
288,46,1,4,Medical,Male,Divorced,No
291,32,4,4,Medical,Male,Married,Yes
292,30,1,1,Life Sciences,Male,Single,No
293,27,20,3,Life Sciences,Female,Single,No
296,51,8,4,Life Sciences,Male,Married,No
297,30,3,3,Technical Degree,Female,Single,Yes
298,41,6,3,Life Sciences,Female,Single,No
299,30,26,4,Marketing,Female,Single,Yes
300,29,1,3,Technical Degree,Male,Single,Yes
302,45,6,3,Medical,Female,Single,No
303,54,3,3,Marketing,Female,Married,No
304,36,5,2,Life Sciences,Male,Single,No
305,33,4,4,Medical,Female,Married,No
306,37,11,3,Other,Male,Divorced,No
307,38,3,3,Life Sciences,Male,Divorced,No
308,31,1,4,Medical,Male,Married,No
309,59,3,3,Life Sciences,Male,Married,No
311,37,4,4,Marketing,Male,Divorced,No
312,29,1,1,Medical,Female,Married,No
314,35,1,3,Marketing,Female,Single,No
315,29,18,1,Medical,Male,Single,Yes
316,52,2,3,Life Sciences,Female,Single,No
319,42,4,2,Technical Degree,Male,Married,No
321,59,6,2,Medical,Male,Married,No
323,50,1,4,Medical,Female,Divorced,No
