EmployeeNumber,Age,DistanceFromHome,Education,EducationField,Gender,MaritalStatus,Attrition,EnvironmentSatisfaction,JobInvolvement,JobLevel,Department,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,ExperienceLevel
1,41,1,2,Life Sciences,Female,Single,Yes,2,3,2,Sales,Sales Executive,4,5993,8,Yes,3,8,6,4,0,Entry
2,49,8,1,Life Sciences,Male,Married,No,3,2,2,Research & Development,Research Scientist,2,5130,1,No,4,10,10,7,1,Intermediate
4,37,2,2,Other,Male,Single,Yes,4,2,1,Research & Development,Laboratory Technician,3,2090,6,Yes,3,7,0,0,0,Entry
5,33,3,4,Life Sciences,Female,Married,No,4,3,1,Research & Development,Research Scientist,3,2909,1,Yes,3,8,8,7,3,Entry
7,27,2,1,Medical,Male,Married,No,1,3,1,Research & Development,Laboratory Technician,2,3468,9,No,3,6,2,2,2,Entry
8,32,2,2,Life Sciences,Male,Single,No,4,3,1,Research & Development,Laboratory Technician,4,3068,0,No,3,8,7,7,3,Entry
10,59,3,3,Medical,Female,Married,No,3,4,1,Research & Development,Laboratory Technician,1,2670,4,Yes,4,12,1,0,0,Intermediate
11,30,24,1,Life Sciences,Male,Divorced,No,4,3,1,Research & Development,Laboratory Technician,3,2693,1,No,4,1,1,0,0,Entry
12,38,23,3,Life Sciences,Male,Single,No,4,2,3,Research & Development,Manufacturing Director,3,9526,0,No,4,10,9,7,1,Intermediate
13,36,27,3,Medical,Male,Married,No,3,3,2,Research & Development,Healthcare Representative,3,5237,6,No,3,17,7,7,7,Senior
14,35,16,3,Medical,Male,Married,No,1,4,1,Research & Development,Laboratory Technician,2,2426,0,No,3,6,5,4,0,Entry
15,29,15,2,Life Sciences,Female,Single,No,4,2,2,Research & Development,Laboratory Technician,3,4193,0,Yes,3,10,9,5,0,Intermediate
16,31,26,1,Life Sciences,Male,Divorced,No,1,3,1,Research & Development,Research Scientist,3,2911,1,No,3,5,5,2,4,Entry
18,34,19,2,Medical,Male,Divorced,No,2,3,1,Research & Development,Laboratory Technician,4,2661,0,No,3,3,2,2,1,Entry
19,28,24,3,Life Sciences,Male,Single,Yes,3,2,1,Research & Development,Laboratory Technician,3,2028,5,Yes,3,6,4,2,0,Entry
20,29,21,4,Life Sciences,Female,Divorced,No,2,4,3,Research & Development,Manufacturing Director,1,9980,1,No,3,10,10,9,8,Intermediate
21,32,5,2,Life Sciences,Male,Divorced,No,1,4,1,Research & Development,Research Scientist,2,3298,0,Yes,3,7,6,2,0,Entry
